MTU,Biomass,Coal,Gas,Geothermal,Hydro,Hydro Discharge,Nuclear,Oil,Solar,Unknown,Wind
2022-01-01 00:00:00,58.0,2.0,53.0,0.0,3.0,0.0,0.0,255.0,0.0,21.0,21.0
2022-01-01 01:00:00,56.0,2.0,54.0,0.0,3.0,0.0,0.0,246.0,0.0,21.0,27.0
2022-01-01 02:00:00,56.0,2.0,55.0,0.0,3.0,0.0,0.0,254.0,0.0,21.0,25.0
2022-01-01 03:00:00,53.0,2.0,54.0,0.0,3.0,0.0,0.0,245.0,0.0,21.0,32.0
2022-01-01 04:00:00,55.0,2.0,54.0,0.0,3.0,0.0,0.0,245.0,0.0,22.0,44.0
2022-01-01 05:00:00,55.0,2.0,53.0,0.0,3.0,0.0,0.0,246.0,0.0,21.0,66.0
2022-01-01 06:00:00,56.0,2.0,53.0,0.0,3.0,0.0,0.0,244.0,0.0,21.0,110.0
2022-01-01 07:00:00,55.0,2.0,53.0,0.0,3.0,0.0,0.0,243.0,0.0,21.0,149.0
2022-01-01 08:00:00,55.0,2.0,52.0,0.0,3.0,0.0,0.0,241.0,0.0,21.0,156.0
2022-01-01 09:00:00,55.0,2.0,50.0,0.0,3.0,0.0,0.0,253.0,1.0,21.0,176.0
2022-01-01 10:00:00,55.0,2.0,47.0,0.0,3.0,0.0,0.0,248.0,3.0,21.0,175.0
2022-01-01 11:00:00,56.0,2.0,46.0,0.0,3.0,0.0,0.0,269.0,6.0,21.0,154.0
2022-01-01 12:00:00,56.0,2.0,46.0,0.0,3.0,0.0,0.0,337.0,8.0,22.0,138.0
2022-01-01 13:00:00,56.0,2.0,46.0,0.0,3.0,0.0,0.0,367.0,5.0,21.0,142.0
2022-01-01 14:00:00,56.0,2.0,47.0,0.0,3.0,0.0,0.0,368.0,1.0,22.0,150.0
2022-01-01 15:00:00,59.0,2.0,47.0,0.0,3.0,0.0,0.0,377.0,0.0,21.0,145.0
2022-01-01 16:00:00,61.0,2.0,49.0,0.0,3.0,0.0,0.0,384.0,0.0,21.0,147.0
2022-01-01 17:00:00,62.0,2.0,48.0,0.0,3.0,0.0,0.0,405.0,0.0,21.0,129.0
2022-01-01 18:00:00,63.0,2.0,50.0,0.0,3.0,0.0,0.0,392.0,0.0,21.0,115.0
2022-01-01 19:00:00,63.0,2.0,50.0,0.0,3.0,0.0,0.0,406.0,0.0,22.0,85.0
2022-01-01 20:00:00,61.0,2.0,50.0,0.0,3.0,0.0,0.0,390.0,0.0,21.0,60.0
2022-01-01 21:00:00,59.0,2.0,49.0,0.0,3.0,0.0,0.0,360.0,0.0,22.0,39.0
2022-01-01 22:00:00,60.0,2.0,49.0,0.0,3.0,0.0,0.0,375.0,0.0,21.0,36.0
2022-01-01 23:00:00,58.0,2.0,50.0,0.0,3.0,0.0,0.0,336.0,0.0,21.0,35.0
2022-01-02 00:00:00,57.0,2.0,46.0,0.0,3.0,0.0,0.0,315.0,0.0,21.0,34.0
2022-01-02 01:00:00,55.0,2.0,49.0,0.0,3.0,0.0,0.0,258.0,0.0,21.0,34.0
2022-01-02 02:00:00,55.0,2.0,49.0,0.0,3.0,0.0,0.0,265.0,0.0,21.0,52.0
2022-01-02 03:00:00,53.0,2.0,49.0,0.0,3.0,0.0,0.0,239.0,0.0,21.0,74.0
2022-01-02 04:00:00,55.0,2.0,48.0,0.0,3.0,0.0,0.0,240.0,0.0,21.0,86.0
2022-01-02 05:00:00,55.0,2.0,47.0,0.0,3.0,0.0,0.0,239.0,0.0,21.0,69.0
2022-01-02 06:00:00,55.0,2.0,42.0,0.0,3.0,0.0,0.0,264.0,0.0,21.0,87.0
2022-01-02 07:00:00,56.0,2.0,44.0,0.0,3.0,0.0,0.0,289.0,0.0,21.0,97.0
2022-01-02 08:00:00,55.0,2.0,45.0,0.0,3.0,0.0,0.0,290.0,0.0,21.0,121.0
2022-01-02 09:00:00,55.0,2.0,34.0,0.0,3.0,0.0,0.0,301.0,1.0,22.0,142.0
2022-01-02 10:00:00,56.0,2.0,23.0,0.0,3.0,0.0,0.0,332.0,2.0,21.0,144.0
2022-01-02 11:00:00,56.0,2.0,24.0,0.0,3.0,0.0,0.0,331.0,3.0,21.0,151.0
2022-01-02 12:00:00,56.0,2.0,24.0,0.0,3.0,0.0,0.0,297.0,2.0,21.0,153.0
2022-01-02 13:00:00,56.0,2.0,30.0,0.0,3.0,0.0,0.0,260.0,1.0,21.0,146.0
2022-01-02 14:00:00,56.0,2.0,42.0,0.0,3.0,0.0,0.0,280.0,0.0,21.0,143.0
2022-01-02 15:00:00,59.0,2.0,43.0,0.0,3.0,0.0,0.0,256.0,0.0,21.0,125.0
2022-01-02 16:00:00,59.0,2.0,48.0,0.0,3.0,0.0,0.0,269.0,0.0,21.0,132.0
2022-01-02 17:00:00,60.0,2.0,49.0,0.0,3.0,0.0,0.0,299.0,0.0,21.0,118.0
2022-01-02 18:00:00,60.0,2.0,49.0,0.0,3.0,0.0,0.0,239.0,0.0,21.0,114.0
2022-01-02 19:00:00,60.0,2.0,47.0,0.0,3.0,0.0,0.0,279.0,0.0,21.0,85.0
2022-01-02 20:00:00,58.0,2.0,46.0,0.0,3.0,0.0,0.0,331.0,0.0,21.0,69.0
2022-01-02 21:00:00,57.0,2.0,44.0,0.0,3.0,0.0,0.0,305.0,0.0,21.0,66.0
2022-01-02 22:00:00,57.0,2.0,44.0,0.0,3.0,0.0,0.0,359.0,0.0,21.0,59.0
2022-01-02 23:00:00,57.0,2.0,45.0,0.0,3.0,0.0,0.0,370.0,0.0,21.0,43.0
2022-01-03 00:00:00,57.0,2.0,45.0,0.0,3.0,0.0,0.0,328.0,0.0,21.0,35.0
2022-01-03 01:00:00,55.0,2.0,46.0,0.0,3.0,0.0,0.0,324.0,0.0,21.0,32.0
2022-01-03 02:00:00,56.0,2.0,46.0,0.0,3.0,0.0,0.0,298.0,0.0,21.0,25.0
2022-01-03 03:00:00,53.0,2.0,49.0,0.0,3.0,0.0,0.0,329.0,0.0,21.0,26.0
2022-01-03 04:00:00,54.0,2.0,51.0,0.0,3.0,0.0,0.0,328.0,0.0,21.0,23.0
2022-01-03 05:00:00,54.0,2.0,51.0,0.0,3.0,0.0,0.0,412.0,0.0,21.0,23.0
2022-01-03 06:00:00,54.0,2.0,51.0,0.0,3.0,0.0,0.0,443.0,0.0,21.0,21.0
2022-01-03 07:00:00,54.0,2.0,48.0,0.0,3.0,0.0,0.0,517.0,0.0,21.0,21.0
2022-01-03 08:00:00,54.0,2.0,50.0,0.0,3.0,0.0,0.0,523.0,0.0,21.0,22.0
2022-01-03 09:00:00,56.0,2.0,48.0,0.0,3.0,0.0,0.0,543.0,2.0,22.0,23.0
2022-01-03 10:00:00,56.0,2.0,51.0,0.0,3.0,0.0,0.0,520.0,3.0,21.0,27.0
2022-01-03 11:00:00,55.0,2.0,51.0,0.0,3.0,0.0,0.0,503.0,4.0,21.0,33.0
2022-01-03 12:00:00,56.0,2.0,52.0,0.0,3.0,0.0,0.0,502.0,3.0,21.0,27.0
2022-01-03 13:00:00,56.0,2.0,53.0,0.0,3.0,0.0,0.0,502.0,2.0,22.0,25.0
2022-01-03 14:00:00,56.0,2.0,52.0,0.0,3.0,0.0,0.0,506.0,0.0,21.0,26.0
2022-01-03 15:00:00,59.0,2.0,53.0,0.0,3.0,0.0,0.0,505.0,0.0,21.0,28.0
2022-01-03 16:00:00,60.0,2.0,54.0,0.0,3.0,0.0,0.0,505.0,0.0,21.0,42.0
2022-01-03 17:00:00,60.0,2.0,55.0,0.0,3.0,0.0,0.0,506.0,0.0,21.0,44.0
2022-01-03 18:00:00,60.0,2.0,54.0,0.0,3.0,0.0,0.0,505.0,0.0,21.0,40.0
2022-01-03 19:00:00,58.0,2.0,54.0,0.0,3.0,0.0,0.0,496.0,0.0,21.0,35.0
2022-01-03 20:00:00,58.0,2.0,55.0,0.0,3.0,0.0,0.0,498.0,0.0,22.0,31.0
2022-01-03 21:00:00,57.0,2.0,55.0,0.0,3.0,0.0,0.0,493.0,0.0,22.0,35.0
2022-01-03 22:00:00,58.0,2.0,55.0,0.0,3.0,0.0,0.0,492.0,0.0,22.0,40.0
2022-01-03 23:00:00,57.0,2.0,56.0,0.0,3.0,0.0,0.0,485.0,0.0,22.0,49.0
2022-01-04 00:00:00,57.0,2.0,58.0,0.0,3.0,0.0,0.0,492.0,0.0,22.0,62.0
2022-01-04 01:00:00,56.0,2.0,58.0,0.0,3.0,0.0,0.0,482.0,0.0,21.0,63.0
2022-01-04 02:00:00,56.0,2.0,58.0,0.0,3.0,0.0,0.0,470.0,0.0,21.0,80.0
2022-01-04 03:00:00,53.0,2.0,58.0,0.0,3.0,0.0,0.0,493.0,0.0,21.0,84.0
2022-01-04 04:00:00,54.0,2.0,58.0,0.0,3.0,0.0,0.0,536.0,0.0,22.0,98.0
2022-01-04 05:00:00,55.0,2.0,59.0,0.0,3.0,0.0,0.0,545.0,0.0,21.0,107.0
2022-01-04 06:00:00,54.0,2.0,58.0,0.0,3.0,0.0,0.0,566.0,0.0,21.0,123.0
2022-01-04 07:00:00,54.0,2.0,57.0,0.0,3.0,0.0,0.0,673.0,0.0,21.0,140.0
2022-01-04 08:00:00,51.0,1.0,58.0,0.0,3.0,0.0,0.0,695.0,1.0,21.0,146.0
2022-01-04 09:00:00,50.0,1.0,58.0,0.0,3.0,0.0,0.0,700.0,4.0,20.0,145.0
2022-01-04 10:00:00,54.0,2.0,59.0,0.0,3.0,0.0,0.0,701.0,8.0,18.0,126.0
2022-01-04 11:00:00,54.0,2.0,58.0,0.0,3.0,0.0,0.0,701.0,11.0,19.0,91.0
2022-01-04 12:00:00,54.0,2.0,59.0,0.0,3.0,0.0,0.0,699.0,12.0,19.0,79.0
2022-01-04 13:00:00,55.0,2.0,60.0,0.0,3.0,0.0,0.0,695.0,7.0,19.0,68.0
2022-01-04 14:00:00,55.0,2.0,62.0,0.0,3.0,0.0,0.0,699.0,1.0,19.0,76.0
2022-01-04 15:00:00,58.0,2.0,62.0,0.0,3.0,0.0,0.0,691.0,0.0,21.0,71.0
2022-01-04 16:00:00,59.0,2.0,59.0,0.0,3.0,0.0,0.0,698.0,0.0,20.0,72.0
2022-01-04 17:00:00,58.0,2.0,60.0,0.0,3.0,0.0,0.0,696.0,0.0,19.0,61.0
2022-01-04 18:00:00,59.0,2.0,58.0,0.0,3.0,0.0,0.0,695.0,0.0,21.0,57.0
2022-01-04 19:00:00,60.0,2.0,59.0,0.0,3.0,0.0,0.0,686.0,0.0,21.0,60.0
2022-01-04 20:00:00,59.0,2.0,66.0,0.0,3.0,0.0,0.0,691.0,0.0,21.0,58.0
2022-01-04 21:00:00,58.0,2.0,65.0,0.0,3.0,0.0,0.0,666.0,0.0,21.0,52.0
2022-01-04 22:00:00,56.0,2.0,66.0,0.0,3.0,0.0,0.0,607.0,0.0,21.0,42.0
2022-01-04 23:00:00,55.0,2.0,66.0,0.0,3.0,0.0,0.0,514.0,0.0,21.0,37.0
2022-01-05 00:00:00,55.0,2.0,61.0,0.0,3.0,0.0,0.0,451.0,0.0,21.0,30.0
2022-01-05 01:00:00,53.0,2.0,60.0,0.0,3.0,0.0,0.0,383.0,0.0,21.0,27.0
2022-01-05 02:00:00,54.0,2.0,60.0,0.0,3.0,0.0,0.0,364.0,0.0,21.0,17.0
2022-01-05 03:00:00,51.0,2.0,59.0,0.0,3.0,0.0,0.0,366.0,0.0,21.0,14.0
2022-01-05 04:00:00,52.0,2.0,60.0,0.0,3.0,0.0,0.0,368.0,0.0,20.0,14.0
2022-01-05 05:00:00,53.0,2.0,61.0,0.0,3.0,0.0,0.0,452.0,0.0,21.0,14.0
2022-01-05 06:00:00,55.0,2.0,59.0,0.0,3.0,0.0,0.0,512.0,0.0,20.0,20.0
2022-01-05 07:00:00,56.0,2.0,56.0,0.0,3.0,0.0,0.0,521.0,0.0,20.0,28.0
2022-01-05 08:00:00,55.0,2.0,58.0,0.0,3.0,0.0,0.0,522.0,1.0,20.0,44.0
2022-01-05 09:00:00,55.0,2.0,59.0,0.0,3.0,0.0,0.0,514.0,3.0,21.0,51.0
2022-01-05 10:00:00,55.0,2.0,60.0,0.0,3.0,0.0,0.0,485.0,7.0,21.0,49.0
2022-01-05 11:00:00,55.0,2.0,59.0,0.0,3.0,0.0,0.0,515.0,13.0,20.0,48.0
2022-01-05 12:00:00,55.0,2.0,58.0,0.0,3.0,0.0,0.0,510.0,12.0,21.0,56.0
2022-01-05 13:00:00,56.0,2.0,58.0,0.0,3.0,0.0,0.0,521.0,6.0,21.0,57.0
2022-01-05 14:00:00,55.0,2.0,59.0,0.0,3.0,0.0,0.0,512.0,1.0,21.0,80.0
2022-01-05 15:00:00,59.0,2.0,59.0,0.0,3.0,0.0,0.0,460.0,0.0,22.0,91.0
2022-01-05 16:00:00,60.0,2.0,58.0,0.0,3.0,0.0,0.0,402.0,0.0,22.0,84.0
2022-01-05 17:00:00,60.0,2.0,58.0,0.0,3.0,0.0,0.0,401.0,0.0,20.0,70.0
2022-01-05 18:00:00,61.0,2.0,55.0,0.0,3.0,0.0,0.0,399.0,0.0,21.0,69.0
2022-01-05 19:00:00,61.0,2.0,54.0,0.0,3.0,0.0,0.0,416.0,0.0,20.0,88.0
2022-01-05 20:00:00,59.0,2.0,57.0,0.0,3.0,0.0,0.0,414.0,0.0,20.0,72.0
2022-01-05 21:00:00,58.0,2.0,58.0,0.0,3.0,0.0,0.0,417.0,0.0,22.0,56.0
2022-01-05 22:00:00,59.0,2.0,58.0,0.0,3.0,0.0,0.0,438.0,0.0,22.0,45.0
2022-01-05 23:00:00,59.0,2.0,61.0,0.0,3.0,0.0,0.0,441.0,0.0,22.0,44.0
2022-01-06 00:00:00,60.0,2.0,64.0,0.0,3.0,0.0,0.0,437.0,0.0,22.0,38.0
2022-01-06 01:00:00,55.0,2.0,59.0,0.0,3.0,0.0,0.0,414.0,0.0,22.0,47.0
2022-01-06 02:00:00,55.0,2.0,59.0,0.0,3.0,0.0,0.0,425.0,0.0,21.0,47.0
2022-01-06 03:00:00,52.0,2.0,59.0,0.0,3.0,0.0,0.0,453.0,0.0,22.0,45.0
2022-01-06 04:00:00,53.0,2.0,58.0,0.0,3.0,0.0,0.0,480.0,0.0,21.0,75.0
2022-01-06 05:00:00,53.0,2.0,58.0,0.0,3.0,0.0,0.0,540.0,0.0,22.0,114.0
2022-01-06 06:00:00,57.0,2.0,56.0,0.0,3.0,0.0,0.0,633.0,0.0,22.0,139.0
2022-01-06 07:00:00,57.0,2.0,54.0,0.0,3.0,0.0,0.0,796.0,0.0,22.0,153.0
2022-01-06 08:00:00,56.0,2.0,57.0,0.0,3.0,0.0,0.0,876.0,0.0,21.0,155.0
2022-01-06 09:00:00,57.0,2.0,56.0,0.0,3.0,0.0,0.0,902.0,1.0,21.0,181.0
2022-01-06 10:00:00,57.0,2.0,51.0,0.0,3.0,0.0,0.0,899.0,3.0,21.0,182.0
2022-01-06 11:00:00,57.0,2.0,50.0,0.0,3.0,0.0,0.0,879.0,4.0,22.0,165.0
2022-01-06 12:00:00,57.0,2.0,48.0,0.0,3.0,0.0,0.0,877.0,4.0,22.0,158.0
2022-01-06 13:00:00,57.0,2.0,47.0,0.0,3.0,0.0,0.0,804.0,2.0,21.0,146.0
2022-01-06 14:00:00,57.0,2.0,49.0,0.0,3.0,0.0,0.0,799.0,1.0,21.0,124.0
2022-01-06 15:00:00,60.0,2.0,47.0,0.0,3.0,0.0,0.0,804.0,0.0,21.0,121.0
2022-01-06 16:00:00,60.0,2.0,48.0,0.0,3.0,0.0,0.0,806.0,0.0,22.0,96.0
2022-01-06 17:00:00,60.0,2.0,44.0,0.0,3.0,0.0,0.0,805.0,0.0,22.0,124.0
2022-01-06 18:00:00,61.0,2.0,45.0,0.0,3.0,0.0,0.0,798.0,0.0,22.0,113.0
2022-01-06 19:00:00,60.0,2.0,44.0,0.0,3.0,0.0,0.0,799.0,0.0,22.0,112.0
2022-01-06 20:00:00,58.0,2.0,45.0,0.0,3.0,0.0,0.0,896.0,0.0,22.0,147.0
2022-01-06 21:00:00,57.0,2.0,46.0,0.0,3.0,0.0,0.0,795.0,0.0,22.0,175.0
2022-01-06 22:00:00,59.0,2.0,47.0,0.0,3.0,0.0,0.0,802.0,0.0,23.0,193.0
2022-01-06 23:00:00,59.0,2.0,48.0,0.0,3.0,0.0,0.0,785.0,0.0,21.0,200.0
2022-01-07 00:00:00,58.0,2.0,50.0,0.0,3.0,0.0,0.0,618.0,0.0,21.0,207.0
2022-01-07 01:00:00,56.0,2.0,52.0,0.0,3.0,0.0,0.0,634.0,0.0,22.0,214.0
2022-01-07 02:00:00,55.0,2.0,52.0,0.0,3.0,0.0,0.0,606.0,0.0,21.0,233.0
2022-01-07 03:00:00,52.0,2.0,53.0,0.0,3.0,0.0,0.0,596.0,0.0,20.0,240.0
2022-01-07 04:00:00,53.0,2.0,52.0,0.0,3.0,0.0,0.0,585.0,0.0,19.0,225.0
2022-01-07 05:00:00,55.0,2.0,50.0,0.0,3.0,0.0,0.0,656.0,0.0,18.0,190.0
2022-01-07 06:00:00,55.0,2.0,45.0,0.0,3.0,0.0,0.0,747.0,0.0,19.0,161.0
2022-01-07 07:00:00,55.0,2.0,47.0,0.0,3.0,0.0,0.0,830.0,0.0,19.0,161.0
2022-01-07 08:00:00,55.0,2.0,48.0,0.0,3.0,0.0,0.0,830.0,1.0,20.0,155.0
2022-01-07 09:00:00,56.0,2.0,48.0,0.0,3.0,0.0,0.0,831.0,3.0,20.0,154.0
2022-01-07 10:00:00,55.0,2.0,47.0,0.0,3.0,0.0,0.0,830.0,6.0,20.0,132.0
2022-01-07 11:00:00,55.0,2.0,48.0,0.0,3.0,0.0,0.0,802.0,8.0,21.0,97.0
2022-01-07 12:00:00,56.0,2.0,49.0,0.0,3.0,0.0,0.0,831.0,7.0,21.0,77.0
2022-01-07 13:00:00,56.0,2.0,50.0,0.0,3.0,0.0,0.0,830.0,3.0,22.0,66.0
2022-01-07 14:00:00,56.0,2.0,50.0,0.0,3.0,0.0,0.0,901.0,1.0,22.0,71.0
2022-01-07 15:00:00,59.0,2.0,48.0,0.0,3.0,0.0,0.0,906.0,0.0,22.0,76.0
2022-01-07 16:00:00,59.0,2.0,50.0,0.0,3.0,0.0,0.0,912.0,0.0,21.0,74.0
2022-01-07 17:00:00,57.0,2.0,49.0,0.0,3.0,0.0,0.0,942.0,0.0,22.0,51.0
2022-01-07 18:00:00,58.0,2.0,50.0,0.0,3.0,0.0,0.0,946.0,0.0,22.0,32.0
2022-01-07 19:00:00,58.0,2.0,50.0,0.0,3.0,0.0,0.0,959.0,0.0,21.0,23.0
2022-01-07 20:00:00,58.0,2.0,49.0,0.0,3.0,0.0,0.0,904.0,0.0,22.0,23.0
2022-01-07 21:00:00,58.0,2.0,49.0,0.0,3.0,0.0,0.0,911.0,0.0,21.0,23.0
2022-01-07 22:00:00,58.0,2.0,49.0,0.0,3.0,0.0,0.0,847.0,0.0,21.0,24.0
2022-01-07 23:00:00,57.0,2.0,48.0,0.0,3.0,0.0,0.0,814.0,0.0,22.0,31.0
2022-01-08 00:00:00,57.0,2.0,49.0,0.0,3.0,0.0,0.0,923.0,0.0,21.0,39.0
2022-01-08 01:00:00,56.0,2.0,48.0,0.0,3.0,0.0,0.0,924.0,0.0,21.0,51.0
2022-01-08 02:00:00,56.0,2.0,55.0,0.0,3.0,0.0,0.0,941.0,0.0,21.0,61.0
2022-01-08 03:00:00,55.0,2.0,57.0,0.0,3.0,0.0,0.0,924.0,0.0,21.0,71.0
2022-01-08 04:00:00,57.0,2.0,56.0,0.0,3.0,0.0,0.0,933.0,0.0,21.0,70.0
2022-01-08 05:00:00,57.0,2.0,56.0,0.0,3.0,0.0,0.0,906.0,0.0,20.0,69.0
2022-01-08 06:00:00,57.0,2.0,47.0,0.0,3.0,0.0,0.0,932.0,0.0,21.0,65.0
2022-01-08 07:00:00,57.0,2.0,46.0,0.0,3.0,0.0,0.0,951.0,0.0,22.0,72.0
2022-01-08 08:00:00,57.0,2.0,46.0,0.0,3.0,0.0,0.0,950.0,0.0,22.0,74.0
2022-01-08 09:00:00,56.0,2.0,49.0,0.0,3.0,0.0,0.0,938.0,1.0,21.0,82.0
2022-01-08 10:00:00,57.0,2.0,49.0,0.0,3.0,0.0,0.0,959.0,2.0,21.0,102.0
2022-01-08 11:00:00,58.0,2.0,47.0,0.0,3.0,0.0,0.0,925.0,2.0,21.0,109.0
2022-01-08 12:00:00,58.0,2.0,48.0,0.0,3.0,0.0,0.0,932.0,2.0,21.0,101.0
2022-01-08 13:00:00,58.0,2.0,49.0,0.0,3.0,0.0,0.0,937.0,1.0,21.0,79.0
2022-01-08 14:00:00,57.0,2.0,50.0,0.0,3.0,0.0,0.0,956.0,0.0,21.0,81.0
2022-01-08 15:00:00,59.0,2.0,51.0,0.0,3.0,0.0,0.0,958.0,0.0,21.0,95.0
2022-01-08 16:00:00,60.0,2.0,51.0,0.0,3.0,0.0,0.0,955.0,0.0,21.0,100.0
2022-01-08 17:00:00,60.0,2.0,52.0,0.0,3.0,0.0,0.0,923.0,0.0,20.0,92.0
2022-01-08 18:00:00,60.0,2.0,52.0,0.0,3.0,0.0,0.0,914.0,0.0,20.0,87.0
2022-01-08 19:00:00,61.0,2.0,51.0,0.0,3.0,0.0,0.0,948.0,0.0,21.0,81.0
2022-01-08 20:00:00,58.0,2.0,51.0,0.0,3.0,0.0,0.0,774.0,0.0,21.0,78.0
2022-01-08 21:00:00,57.0,2.0,52.0,0.0,3.0,0.0,0.0,732.0,0.0,21.0,77.0
2022-01-08 22:00:00,57.0,2.0,54.0,0.0,3.0,0.0,0.0,599.0,0.0,21.0,73.0
2022-01-08 23:00:00,57.0,2.0,56.0,0.0,3.0,0.0,0.0,510.0,0.0,22.0,65.0
2022-01-09 00:00:00,57.0,2.0,56.0,0.0,3.0,0.0,0.0,558.0,0.0,22.0,66.0
2022-01-09 01:00:00,55.0,2.0,53.0,0.0,3.0,0.0,0.0,529.0,0.0,22.0,63.0
2022-01-09 02:00:00,56.0,2.0,54.0,0.0,3.0,0.0,0.0,523.0,0.0,21.0,55.0
2022-01-09 03:00:00,53.0,2.0,53.0,0.0,3.0,0.0,0.0,519.0,0.0,21.0,55.0
2022-01-09 04:00:00,55.0,2.0,52.0,0.0,3.0,0.0,0.0,591.0,0.0,21.0,52.0
2022-01-09 05:00:00,56.0,2.0,54.0,0.0,3.0,0.0,0.0,644.0,0.0,20.0,51.0
2022-01-09 06:00:00,56.0,2.0,53.0,0.0,3.0,0.0,0.0,626.0,0.0,20.0,44.0
2022-01-09 07:00:00,56.0,2.0,54.0,0.0,3.0,0.0,0.0,616.0,0.0,20.0,50.0
2022-01-09 08:00:00,58.0,2.0,54.0,0.0,3.0,0.0,0.0,675.0,1.0,21.0,41.0
2022-01-09 09:00:00,59.0,2.0,53.0,0.0,3.0,0.0,0.0,712.0,1.0,22.0,47.0
2022-01-09 10:00:00,59.0,2.0,54.0,0.0,3.0,0.0,0.0,803.0,2.0,22.0,55.0
2022-01-09 11:00:00,59.0,2.0,54.0,0.0,3.0,0.0,0.0,788.0,2.0,21.0,64.0
2022-01-09 12:00:00,59.0,2.0,53.0,0.0,3.0,0.0,0.0,825.0,2.0,21.0,60.0
2022-01-09 13:00:00,60.0,2.0,54.0,0.0,3.0,0.0,0.0,805.0,1.0,21.0,45.0
2022-01-09 14:00:00,60.0,2.0,54.0,0.0,3.0,0.0,0.0,806.0,0.0,22.0,34.0
2022-01-09 15:00:00,62.0,2.0,54.0,0.0,3.0,0.0,0.0,823.0,0.0,21.0,23.0
2022-01-09 16:00:00,63.0,2.0,55.0,0.0,3.0,0.0,0.0,840.0,0.0,21.0,19.0
2022-01-09 17:00:00,63.0,2.0,54.0,0.0,3.0,0.0,0.0,955.0,0.0,21.0,20.0
2022-01-09 18:00:00,64.0,2.0,53.0,0.0,3.0,0.0,0.0,958.0,0.0,21.0,26.0
2022-01-09 19:00:00,64.0,2.0,52.0,0.0,3.0,0.0,0.0,955.0,0.0,21.0,31.0
2022-01-09 20:00:00,63.0,2.0,54.0,0.0,3.0,0.0,0.0,941.0,0.0,22.0,45.0
2022-01-09 21:00:00,61.0,2.0,56.0,0.0,3.0,0.0,0.0,945.0,0.0,21.0,56.0
2022-01-09 22:00:00,62.0,2.0,55.0,0.0,3.0,0.0,0.0,942.0,0.0,21.0,52.0
2022-01-09 23:00:00,62.0,2.0,53.0,0.0,3.0,0.0,0.0,950.0,0.0,22.0,52.0
2022-01-10 00:00:00,61.0,2.0,52.0,0.0,3.0,0.0,0.0,856.0,0.0,21.0,58.0
2022-01-10 01:00:00,60.0,2.0,53.0,0.0,3.0,0.0,0.0,833.0,0.0,21.0,55.0
2022-01-10 02:00:00,59.0,2.0,53.0,0.0,3.0,0.0,0.0,844.0,0.0,21.0,59.0
2022-01-10 03:00:00,57.0,2.0,54.0,0.0,3.0,0.0,0.0,875.0,0.0,21.0,66.0
2022-01-10 04:00:00,58.0,2.0,54.0,0.0,3.0,0.0,0.0,920.0,0.0,21.0,70.0
2022-01-10 05:00:00,57.0,2.0,52.0,0.0,3.0,0.0,0.0,934.0,0.0,20.0,69.0
2022-01-10 06:00:00,56.0,2.0,52.0,0.0,3.0,0.0,0.0,958.0,0.0,20.0,64.0
2022-01-10 07:00:00,57.0,2.0,52.0,0.0,3.0,0.0,0.0,957.0,0.0,20.0,55.0
2022-01-10 08:00:00,56.0,2.0,46.0,0.0,3.0,0.0,0.0,953.0,0.0,21.0,40.0
2022-01-10 09:00:00,56.0,2.0,28.0,0.0,3.0,0.0,0.0,948.0,1.0,21.0,34.0
2022-01-10 10:00:00,56.0,2.0,28.0,0.0,3.0,0.0,0.0,952.0,1.0,21.0,25.0
2022-01-10 11:00:00,56.0,2.0,26.0,0.0,3.0,0.0,0.0,967.0,2.0,21.0,21.0
2022-01-10 12:00:00,57.0,2.0,25.0,0.0,3.0,0.0,0.0,977.0,2.0,21.0,29.0
2022-01-10 13:00:00,57.0,2.0,25.0,0.0,3.0,0.0,0.0,979.0,1.0,20.0,29.0
2022-01-10 14:00:00,57.0,2.0,26.0,0.0,3.0,0.0,0.0,973.0,0.0,20.0,38.0
2022-01-10 15:00:00,60.0,2.0,27.0,0.0,3.0,0.0,0.0,1081.0,0.0,21.0,34.0
2022-01-10 16:00:00,61.0,2.0,30.0,0.0,3.0,0.0,0.0,1096.0,0.0,21.0,29.0
2022-01-10 17:00:00,60.0,2.0,44.0,0.0,3.0,0.0,0.0,1090.0,0.0,21.0,31.0
2022-01-10 18:00:00,62.0,2.0,42.0,0.0,3.0,0.0,0.0,1079.0,0.0,22.0,28.0
2022-01-10 19:00:00,61.0,2.0,42.0,0.0,3.0,0.0,0.0,1078.0,0.0,22.0,18.0
2022-01-10 20:00:00,59.0,2.0,43.0,0.0,3.0,0.0,0.0,1078.0,0.0,22.0,13.0
2022-01-10 21:00:00,57.0,2.0,46.0,0.0,3.0,0.0,0.0,1076.0,0.0,21.0,15.0
2022-01-10 22:00:00,58.0,2.0,43.0,0.0,3.0,0.0,0.0,1089.0,0.0,21.0,14.0
2022-01-10 23:00:00,57.0,2.0,44.0,0.0,3.0,0.0,0.0,1091.0,0.0,22.0,11.0
2022-01-11 00:00:00,57.0,2.0,45.0,0.0,3.0,0.0,0.0,1055.0,0.0,22.0,11.0
2022-01-11 01:00:00,55.0,2.0,43.0,0.0,3.0,0.0,0.0,1036.0,0.0,22.0,9.0
2022-01-11 02:00:00,56.0,2.0,45.0,0.0,3.0,0.0,0.0,1052.0,0.0,22.0,9.0
2022-01-11 03:00:00,53.0,2.0,45.0,0.0,3.0,0.0,0.0,1053.0,0.0,22.0,10.0
