MTU,Biomass,Coal,Gas,Oil,Geothermal,Hydro,Marine,Unknown,Solar,Nuclear,Waste,Wind
2021-01-01 00:00:00,181.0,0.0,1764.25,0.0,0.0,2202.25,0.0,22.0,0.0,0.0,100.0,146.0
2021-01-01 01:00:00,180.0,0.0,1665.75,0.0,0.0,2019.5,0.0,22.0,0.0,0.0,100.0,117.0
2021-01-01 02:00:00,180.0,0.0,1638.5,0.0,0.0,1895.0,0.0,22.0,0.0,0.0,100.0,73.0
2021-01-01 03:00:00,180.0,0.0,1498.5,0.0,0.0,1817.5,0.0,22.0,0.0,0.0,100.0,82.0
2021-01-01 04:00:00,180.0,0.0,1453.25,0.0,0.0,1797.0,0.0,22.0,0.0,0.0,100.0,75.0
2021-01-01 05:00:00,180.0,0.0,1544.5,0.0,0.0,1786.75,0.0,22.0,0.0,0.0,100.0,65.0
2021-01-01 06:00:00,180.0,0.0,1605.0,0.0,0.0,1838.25,0.0,22.0,0.0,0.0,100.0,50.0
2021-01-01 07:00:00,180.0,0.0,1773.0,0.0,0.0,1900.75,0.0,22.0,1.0,0.0,100.0,31.0
2021-01-01 08:00:00,180.0,0.0,1852.5,0.0,0.0,2061.5,0.0,22.0,6.0,0.0,100.0,27.0
2021-01-01 09:00:00,180.0,0.0,1922.75,0.0,0.0,2140.75,0.0,22.0,34.0,0.0,100.0,17.0
2021-01-01 10:00:00,180.0,0.0,1938.0,0.0,0.0,2184.25,0.0,22.0,82.0,0.0,100.0,13.0
2021-01-01 11:00:00,180.0,0.0,1968.75,0.0,0.0,2264.75,0.0,22.0,120.0,0.0,100.0,23.0
2021-01-01 12:00:00,181.0,0.0,2026.25,0.0,0.0,2276.25,0.0,22.0,135.0,0.0,100.0,5.0
2021-01-01 13:00:00,184.0,0.0,1968.0,0.0,0.0,2271.25,0.0,22.0,125.0,0.0,100.0,25.0
2021-01-01 14:00:00,184.0,0.0,1936.25,0.0,0.0,2224.75,0.0,22.0,88.0,0.0,100.0,36.0
2021-01-01 15:00:00,184.0,0.0,1942.25,0.0,0.0,2266.0,0.0,22.0,36.0,0.0,100.0,63.0
2021-01-01 16:00:00,184.0,0.0,1970.5,0.0,0.0,2556.75,0.0,22.0,6.0,0.0,100.0,48.0
2021-01-01 17:00:00,184.0,0.0,1925.5,0.0,0.0,3766.5,0.0,22.0,0.0,0.0,100.0,50.0
2021-01-01 18:00:00,184.0,0.0,1934.75,0.0,0.0,3907.75,0.0,22.0,0.0,0.0,100.0,53.0
2021-01-01 19:00:00,184.0,0.0,1977.5,0.0,0.0,3710.5,0.0,22.0,0.0,0.0,100.0,65.0
2021-01-01 20:00:00,184.0,0.0,2021.5,0.0,0.0,3057.0,0.0,22.0,0.0,0.0,100.0,38.0
2021-01-01 21:00:00,184.0,0.0,2062.5,0.0,0.0,2453.0,0.0,22.0,0.0,0.0,100.0,24.0
2021-01-01 22:00:00,184.0,0.0,2071.75,0.0,0.0,2105.75,0.0,22.0,0.0,0.0,100.0,9.0
2021-01-01 23:00:00,184.0,0.0,2106.25,0.0,0.0,1961.75,0.0,22.0,0.0,0.0,100.0,7.0
2021-01-02 00:00:00,180.0,0.0,2074.25,0.0,0.0,1874.0,0.0,22.0,0.0,0.0,100.0,19.0
2021-01-02 01:00:00,180.0,0.0,1909.0,0.0,0.0,1821.0,0.0,22.0,0.0,0.0,100.0,63.0
2021-01-02 02:00:00,180.0,0.0,1904.0,0.0,0.0,1692.0,0.0,22.0,0.0,0.0,100.0,100.0
2021-01-02 03:00:00,180.0,0.0,1811.0,0.0,0.0,1665.5,0.0,22.0,0.0,0.0,100.0,199.0
2021-01-02 04:00:00,180.0,0.0,1723.75,0.0,0.0,1638.0,0.0,22.0,0.0,0.0,100.0,410.0
2021-01-02 05:00:00,180.0,0.0,1841.0,0.0,0.0,1615.25,0.0,22.0,0.0,0.0,100.0,526.0
2021-01-02 06:00:00,180.0,0.0,1832.0,0.0,0.0,1662.75,0.0,22.0,0.0,0.0,100.0,685.0
2021-01-02 07:00:00,180.0,0.0,1976.75,0.0,0.0,1902.25,0.0,22.0,0.0,0.0,100.0,646.0
2021-01-02 08:00:00,180.0,0.0,2000.25,0.0,0.0,2145.0,0.0,22.0,10.0,0.0,100.0,651.0
2021-01-02 09:00:00,180.0,0.0,2009.75,0.0,0.0,2188.25,0.0,22.0,42.0,0.0,100.0,733.0
2021-01-02 10:00:00,180.0,0.0,2038.75,0.0,0.0,2259.0,0.0,22.0,84.0,0.0,100.0,719.0
2021-01-02 11:00:00,180.0,0.0,2049.75,0.0,0.0,2353.5,0.0,22.0,112.0,0.0,100.0,813.0
2021-01-02 12:00:00,181.0,0.0,2031.25,0.0,0.0,2473.25,0.0,22.0,125.0,0.0,100.0,727.0
2021-01-02 13:00:00,184.0,0.0,2013.5,0.0,0.0,2512.75,0.0,22.0,113.0,0.0,100.0,670.0
2021-01-02 14:00:00,184.0,0.0,2022.25,0.0,0.0,2362.25,0.0,22.0,81.0,0.0,100.0,746.0
2021-01-02 15:00:00,184.0,0.0,2011.5,0.0,0.0,2404.75,0.0,22.0,34.0,0.0,100.0,885.0
2021-01-02 16:00:00,184.0,0.0,2034.75,0.0,0.0,2877.25,0.0,22.0,6.0,0.0,100.0,1089.0
2021-01-02 17:00:00,184.0,0.0,1997.5,0.0,0.0,3791.5,0.0,22.0,0.0,0.0,100.0,1293.0
2021-01-02 18:00:00,184.0,0.0,1993.0,0.0,0.0,3954.25,0.0,22.0,0.0,0.0,100.0,1368.0
2021-01-02 19:00:00,184.0,0.0,2003.5,0.0,0.0,3833.0,0.0,22.0,0.0,0.0,100.0,1211.0
2021-01-02 20:00:00,184.0,0.0,2028.5,0.0,0.0,2649.0,0.0,22.0,0.0,0.0,100.0,1019.0
2021-01-02 21:00:00,184.0,0.0,2014.5,0.0,0.0,2246.75,0.0,22.0,0.0,0.0,100.0,985.0
2021-01-02 22:00:00,184.0,0.0,2023.5,0.0,0.0,2143.0,0.0,22.0,0.0,0.0,100.0,1191.0
2021-01-02 23:00:00,184.0,0.0,1960.75,0.0,0.0,1787.25,0.0,22.0,0.0,0.0,100.0,1490.0
2021-01-03 00:00:00,180.0,0.0,1747.5,0.0,0.0,2257.75,0.0,22.0,0.0,0.0,100.0,1764.0
2021-01-03 01:00:00,180.0,0.0,1399.5,0.0,0.0,1950.0,0.0,22.0,0.0,0.0,100.0,1765.0
2021-01-03 02:00:00,180.0,0.0,1247.5,0.0,0.0,1542.75,0.0,22.0,0.0,0.0,100.0,1617.0
2021-01-03 03:00:00,180.0,0.0,1252.75,0.0,0.0,1529.75,0.0,22.0,0.0,0.0,100.0,1395.0
2021-01-03 04:00:00,180.0,0.0,1236.75,0.0,0.0,1529.5,0.0,22.0,0.0,0.0,100.0,1193.0
2021-01-03 05:00:00,180.0,0.0,1590.5,0.0,0.0,1515.0,0.0,22.0,0.0,0.0,100.0,1131.0
2021-01-03 06:00:00,180.0,0.0,1572.5,0.0,0.0,1524.0,0.0,22.0,0.0,0.0,100.0,1247.0
2021-01-03 07:00:00,180.0,0.0,1558.75,0.0,0.0,1552.5,0.0,22.0,0.0,0.0,100.0,1321.0
2021-01-03 08:00:00,180.0,0.0,1832.75,0.0,0.0,1590.5,0.0,22.0,3.0,0.0,100.0,1298.0
2021-01-03 09:00:00,180.0,0.0,2050.0,0.0,0.0,1786.25,0.0,22.0,20.0,0.0,100.0,1210.0
2021-01-03 10:00:00,180.0,0.0,2287.0,0.0,0.0,1891.0,0.0,22.0,48.0,0.0,100.0,1081.0
2021-01-03 11:00:00,180.0,0.0,2332.25,0.0,0.0,2106.75,0.0,22.0,80.0,0.0,100.0,1111.0
2021-01-03 12:00:00,181.0,0.0,2332.25,0.0,0.0,2020.0,0.0,22.0,98.0,0.0,100.0,1055.0
2021-01-03 13:00:00,184.0,0.0,1923.5,0.0,0.0,1927.5,0.0,22.0,90.0,0.0,100.0,1115.0
2021-01-03 14:00:00,184.0,0.0,1857.5,0.0,0.0,1900.0,0.0,22.0,62.0,0.0,100.0,970.0
2021-01-03 15:00:00,184.0,0.0,1806.75,0.0,0.0,2000.75,0.0,22.0,25.0,0.0,100.0,897.0
2021-01-03 16:00:00,184.0,0.0,1920.0,0.0,0.0,2130.0,0.0,22.0,5.0,0.0,100.0,898.0
2021-01-03 17:00:00,184.0,0.0,1952.0,0.0,0.0,2639.75,0.0,22.0,0.0,0.0,100.0,708.0
2021-01-03 18:00:00,184.0,0.0,2003.25,0.0,0.0,2669.75,0.0,22.0,0.0,0.0,100.0,472.0
2021-01-03 19:00:00,184.0,0.0,2013.0,0.0,0.0,2620.75,0.0,22.0,0.0,0.0,100.0,288.0
2021-01-03 20:00:00,184.0,0.0,1978.0,0.0,0.0,2637.5,0.0,22.0,0.0,0.0,100.0,215.0
2021-01-03 21:00:00,184.0,0.0,1863.0,0.0,0.0,2310.5,0.0,22.0,0.0,0.0,100.0,124.0
2021-01-03 22:00:00,184.0,0.0,1887.0,0.0,0.0,1899.5,0.0,22.0,0.0,0.0,100.0,114.0
2021-01-03 23:00:00,184.0,0.0,1719.0,0.0,0.0,1748.5,0.0,22.0,0.0,0.0,100.0,199.0
2021-01-04 00:00:00,180.0,0.0,1398.0,0.0,0.0,1761.5,0.0,22.0,0.0,0.0,100.0,183.0
2021-01-04 01:00:00,180.0,0.0,1365.0,0.0,0.0,1626.5,0.0,22.0,0.0,0.0,100.0,156.0
2021-01-04 02:00:00,180.0,0.0,1339.75,0.0,0.0,1666.0,0.0,22.0,0.0,0.0,100.0,68.0
2021-01-04 03:00:00,180.0,0.0,1286.25,0.0,0.0,1644.75,0.0,22.0,0.0,0.0,100.0,70.0
2021-01-04 04:00:00,180.0,0.0,1325.75,0.0,0.0,1665.75,0.0,22.0,0.0,0.0,100.0,101.0
2021-01-04 05:00:00,180.0,0.0,1366.0,0.0,0.0,1675.0,0.0,22.0,0.0,0.0,100.0,84.0
2021-01-04 06:00:00,180.0,0.0,1888.25,0.0,0.0,1914.0,0.0,22.0,0.0,0.0,100.0,83.0
2021-01-04 07:00:00,180.0,0.0,1947.25,0.0,0.0,3200.0,0.0,22.0,0.0,0.0,100.0,100.0
2021-01-04 08:00:00,180.0,0.0,1956.0,0.0,0.0,4196.5,0.0,22.0,4.0,0.0,100.0,99.0
2021-01-04 09:00:00,180.0,0.0,1915.0,0.0,0.0,5523.75,0.0,22.0,21.0,0.0,100.0,70.0
2021-01-04 10:00:00,180.0,0.0,1939.75,0.0,0.0,5087.75,0.0,22.0,43.0,0.0,100.0,14.0
2021-01-04 11:00:00,180.0,0.0,1935.0,0.0,0.0,5637.75,0.0,22.0,65.0,0.0,100.0,21.0
2021-01-04 12:00:00,181.0,0.0,1971.0,0.0,0.0,5163.75,0.0,22.0,70.0,0.0,100.0,30.0
2021-01-04 13:00:00,184.0,0.0,1958.5,0.0,0.0,5385.25,0.0,22.0,64.0,0.0,100.0,17.0
2021-01-04 14:00:00,184.0,0.0,1955.75,0.0,0.0,4573.5,0.0,22.0,45.0,0.0,100.0,12.0
2021-01-04 15:00:00,184.0,0.0,1982.5,0.0,0.0,3473.25,0.0,22.0,20.0,0.0,100.0,12.0
2021-01-04 16:00:00,184.0,0.0,1979.75,0.0,0.0,3690.25,0.0,22.0,4.0,0.0,100.0,10.0
2021-01-04 17:00:00,184.0,0.0,1969.75,0.0,0.0,5144.25,0.0,22.0,0.0,0.0,100.0,5.0
2021-01-04 18:00:00,184.0,0.0,1997.25,0.0,0.0,4168.5,0.0,22.0,0.0,0.0,100.0,6.0
2021-01-04 19:00:00,184.0,0.0,2056.5,0.0,0.0,3024.25,0.0,22.0,0.0,0.0,100.0,16.0
2021-01-04 20:00:00,184.0,0.0,2063.25,0.0,0.0,2377.75,0.0,22.0,0.0,0.0,100.0,14.0
2021-01-04 21:00:00,184.0,0.0,2067.0,0.0,0.0,2143.5,0.0,22.0,0.0,0.0,100.0,13.0
2021-01-04 22:00:00,184.0,0.0,2077.25,0.0,0.0,1963.5,0.0,22.0,0.0,0.0,100.0,15.0
2021-01-04 23:00:00,184.0,0.0,2076.25,0.0,0.0,1886.25,0.0,22.0,0.0,0.0,100.0,22.0
2021-01-05 00:00:00,177.0,0.0,1757.0,0.0,0.0,1839.25,0.0,22.0,0.0,0.0,100.0,47.0
2021-01-05 01:00:00,176.0,0.0,1564.0,0.0,0.0,1796.75,0.0,22.0,0.0,0.0,100.0,202.0
2021-01-05 02:00:00,175.0,0.0,1329.75,0.0,0.0,1713.0,0.0,22.0,0.0,0.0,100.0,190.0
2021-01-05 03:00:00,176.0,0.0,1222.5,0.0,0.0,1672.0,0.0,22.0,0.0,0.0,100.0,192.0
2021-01-05 04:00:00,176.0,0.0,1366.0,0.0,0.0,1709.25,0.0,22.0,0.0,0.0,100.0,147.0
2021-01-05 05:00:00,176.0,0.0,1714.0,0.0,0.0,1916.75,0.0,22.0,0.0,0.0,100.0,148.0
2021-01-05 06:00:00,176.0,0.0,2125.75,0.0,0.0,2132.25,0.0,22.0,0.0,0.0,100.0,236.0
2021-01-05 07:00:00,176.0,0.0,2362.5,0.0,0.0,3756.75,0.0,22.0,0.0,0.0,100.0,279.0
2021-01-05 08:00:00,176.0,0.0,2669.0,0.0,0.0,5353.75,0.0,22.0,4.0,0.0,100.0,279.0
2021-01-05 09:00:00,176.0,0.0,2737.25,0.0,0.0,5344.75,0.0,22.0,25.0,0.0,100.0,213.0
2021-01-05 10:00:00,176.0,0.0,2757.5,0.0,0.0,5293.75,0.0,22.0,59.0,0.0,100.0,195.0
2021-01-05 11:00:00,176.0,0.0,2773.75,0.0,0.0,5266.0,0.0,22.0,90.0,0.0,100.0,148.0
2021-01-05 12:00:00,177.0,0.0,2793.5,0.0,0.0,4531.5,0.0,22.0,102.0,0.0,100.0,144.0
2021-01-05 13:00:00,180.0,0.0,2768.75,0.0,0.0,4073.75,0.0,22.0,99.0,0.0,100.0,156.0
2021-01-05 14:00:00,180.0,0.0,2555.5,0.0,0.0,4217.25,0.0,22.0,77.0,0.0,100.0,103.0
2021-01-05 15:00:00,180.0,0.0,2360.0,0.0,0.0,4475.0,0.0,22.0,36.0,0.0,100.0,67.0
2021-01-05 16:00:00,180.0,0.0,2338.0,0.0,0.0,5107.5,0.0,22.0,6.0,0.0,100.0,42.0
2021-01-05 17:00:00,180.0,0.0,2343.75,0.0,0.0,5889.75,0.0,22.0,0.0,0.0,100.0,24.0
2021-01-05 18:00:00,180.0,0.0,2353.75,0.0,0.0,5221.25,0.0,22.0,0.0,0.0,100.0,29.0
2021-01-05 19:00:00,180.0,0.0,2493.5,0.0,0.0,4252.0,0.0,22.0,0.0,0.0,100.0,26.0
2021-01-05 20:00:00,180.0,0.0,2697.0,0.0,0.0,2553.25,0.0,22.0,0.0,0.0,100.0,7.0
2021-01-05 21:00:00,177.0,0.0,2198.75,0.0,0.0,2209.5,0.0,22.0,0.0,0.0,100.0,4.0
2021-01-05 22:00:00,177.0,0.0,2049.25,0.0,0.0,2189.75,0.0,22.0,0.0,0.0,100.0,4.0
2021-01-05 23:00:00,176.0,0.0,1945.5,0.0,0.0,1993.0,0.0,22.0,0.0,0.0,100.0,8.0
2021-01-06 00:00:00,174.0,0.0,1849.25,0.0,0.0,2023.5,0.0,22.0,0.0,0.0,100.0,49.0
2021-01-06 01:00:00,178.0,0.0,1785.25,0.0,0.0,1814.75,0.0,22.0,0.0,0.0,100.0,171.0
2021-01-06 02:00:00,182.0,0.0,1760.0,0.0,0.0,1773.25,0.0,22.0,0.0,0.0,100.0,362.0
2021-01-06 03:00:00,184.0,0.0,1733.25,0.0,0.0,1787.5,0.0,22.0,0.0,0.0,100.0,502.0
2021-01-06 04:00:00,184.0,0.0,1733.75,0.0,0.0,1812.0,0.0,22.0,0.0,0.0,100.0,608.0
2021-01-06 05:00:00,184.0,0.0,1732.0,0.0,0.0,1930.75,0.0,22.0,0.0,0.0,100.0,640.0
2021-01-06 06:00:00,184.0,0.0,1831.25,0.0,0.0,2103.5,0.0,22.0,0.0,0.0,100.0,572.0
2021-01-06 07:00:00,184.0,0.0,1945.75,0.0,0.0,2112.25,0.0,22.0,0.0,0.0,100.0,511.0
2021-01-06 08:00:00,184.0,0.0,2026.5,0.0,0.0,2404.0,0.0,22.0,3.0,0.0,100.0,403.0
2021-01-06 09:00:00,184.0,0.0,2025.0,0.0,0.0,2818.5,0.0,22.0,20.0,0.0,100.0,358.0
2021-01-06 10:00:00,184.0,0.0,2035.0,0.0,0.0,2923.5,0.0,22.0,54.0,0.0,100.0,304.0
2021-01-06 11:00:00,184.0,0.0,1994.0,0.0,0.0,3930.75,0.0,22.0,94.0,0.0,100.0,270.0
2021-01-06 12:00:00,184.0,0.0,1912.25,0.0,0.0,4383.5,0.0,22.0,113.0,0.0,100.0,163.0
2021-01-06 13:00:00,184.0,0.0,1887.0,0.0,0.0,4037.0,0.0,22.0,103.0,0.0,100.0,180.0
2021-01-06 14:00:00,184.0,0.0,1909.5,0.0,0.0,3364.0,0.0,22.0,82.0,0.0,100.0,144.0
2021-01-06 15:00:00,184.0,0.0,1897.0,0.0,0.0,3537.75,0.0,22.0,42.0,0.0,100.0,118.0
2021-01-06 16:00:00,184.0,0.0,1902.0,0.0,0.0,4228.25,0.0,22.0,9.0,0.0,100.0,180.0
2021-01-06 17:00:00,184.0,0.0,1922.0,0.0,0.0,5336.5,0.0,22.0,0.0,0.0,100.0,209.0
2021-01-06 18:00:00,184.0,0.0,1913.0,0.0,0.0,5011.25,0.0,22.0,0.0,0.0,100.0,245.0
2021-01-06 19:00:00,184.0,0.0,1907.25,0.0,0.0,4487.25,0.0,22.0,0.0,0.0,100.0,297.0
2021-01-06 20:00:00,184.0,0.0,1912.25,0.0,0.0,3452.0,0.0,22.0,0.0,0.0,100.0,370.0
2021-01-06 21:00:00,184.0,0.0,1954.5,0.0,0.0,2381.25,0.0,22.0,0.0,0.0,100.0,439.0
2021-01-06 22:00:00,184.0,0.0,1950.25,0.0,0.0,2164.0,0.0,22.0,0.0,0.0,100.0,604.0
2021-01-06 23:00:00,184.0,0.0,1953.5,0.0,0.0,2055.25,0.0,22.0,0.0,0.0,100.0,747.0
2021-01-07 00:00:00,174.0,0.0,1998.75,0.0,0.0,2080.25,0.0,22.0,0.0,0.0,100.0,858.0
2021-01-07 01:00:00,178.0,0.0,1860.75,0.0,0.0,1921.75,0.0,22.0,0.0,0.0,100.0,944.0
2021-01-07 02:00:00,183.0,0.0,1604.5,0.0,0.0,1944.25,0.0,22.0,0.0,0.0,100.0,797.0
2021-01-07 03:00:00,184.0,0.0,1540.25,0.0,0.0,1923.25,0.0,22.0,0.0,0.0,100.0,834.0
2021-01-07 04:00:00,184.0,0.0,1653.25,0.0,0.0,1901.75,0.0,22.0,0.0,0.0,100.0,778.0
2021-01-07 05:00:00,184.0,0.0,1830.75,0.0,0.0,1959.0,0.0,22.0,0.0,0.0,100.0,745.0
2021-01-07 06:00:00,184.0,0.0,1898.75,0.0,0.0,2491.75,0.0,22.0,0.0,0.0,100.0,724.0
2021-01-07 07:00:00,184.0,0.0,1875.5,0.0,0.0,4841.25,0.0,22.0,0.0,0.0,100.0,658.0
2021-01-07 08:00:00,184.0,0.0,1928.75,0.0,0.0,5340.5,0.0,22.0,8.0,0.0,100.0,712.0
2021-01-07 09:00:00,184.0,0.0,2000.25,0.0,0.0,5656.0,0.0,22.0,39.0,0.0,100.0,611.0
2021-01-07 10:00:00,184.0,0.0,2021.75,0.0,0.0,5318.75,0.0,22.0,86.0,0.0,100.0,498.0
2021-01-07 11:00:00,184.0,0.0,2024.0,0.0,0.0,5314.0,0.0,22.0,128.0,0.0,100.0,401.0
2021-01-07 12:00:00,184.0,0.0,2001.25,0.0,0.0,5214.0,0.0,22.0,160.0,0.0,100.0,428.0
2021-01-07 13:00:00,184.0,0.0,1989.75,0.0,0.0,5177.0,0.0,22.0,167.0,0.0,100.0,360.0
2021-01-07 14:00:00,184.0,0.0,1987.0,0.0,0.0,5291.75,0.0,22.0,129.0,0.0,100.0,271.0
2021-01-07 15:00:00,184.0,0.0,1991.25,0.0,0.0,5593.0,0.0,22.0,60.0,0.0,100.0,175.0
2021-01-07 16:00:00,184.0,0.0,2032.5,0.0,0.0,5659.25,0.0,22.0,12.0,0.0,100.0,132.0
2021-01-07 17:00:00,184.0,0.0,2040.25,0.0,0.0,6105.5,0.0,22.0,0.0,0.0,100.0,122.0
2021-01-07 18:00:00,184.0,0.0,2032.5,0.0,0.0,6112.5,0.0,22.0,0.0,0.0,100.0,132.0
2021-01-07 19:00:00,184.0,0.0,2014.75,0.0,0.0,5502.0,0.0,22.0,0.0,0.0,100.0,106.0
2021-01-07 20:00:00,184.0,0.0,1984.0,0.0,0.0,4540.5,0.0,22.0,0.0,0.0,100.0,85.0
2021-01-07 21:00:00,184.0,0.0,1992.5,0.0,0.0,2851.75,0.0,22.0,0.0,0.0,100.0,76.0
2021-01-07 22:00:00,184.0,0.0,2020.0,0.0,0.0,2431.25,0.0,22.0,0.0,0.0,100.0,44.0
2021-01-07 23:00:00,184.0,0.0,2037.25,0.0,0.0,2198.25,0.0,22.0,0.0,0.0,100.0,29.0
2021-01-08 00:00:00,184.0,0.0,2043.75,0.0,0.0,1948.75,0.0,22.0,0.0,0.0,100.0,30.0
2021-01-08 01:00:00,182.0,0.0,2029.25,0.0,0.0,1976.0,0.0,22.0,0.0,0.0,100.0,27.0
2021-01-08 02:00:00,180.0,0.0,2038.5,0.0,0.0,1935.25,0.0,22.0,0.0,0.0,100.0,35.0
2021-01-08 03:00:00,180.0,0.0,2035.5,0.0,0.0,1780.75,0.0,22.0,0.0,0.0,100.0,49.0
2021-01-08 04:00:00,182.0,0.0,2024.25,0.0,0.0,1786.75,0.0,22.0,0.0,0.0,100.0,50.0
2021-01-08 05:00:00,184.0,0.0,2020.0,0.0,0.0,1895.25,0.0,22.0,0.0,0.0,100.0,46.0
2021-01-08 06:00:00,184.0,0.0,2005.0,0.0,0.0,2575.25,0.0,22.0,0.0,0.0,100.0,42.0
2021-01-08 07:00:00,182.0,0.0,1922.0,0.0,0.0,5006.25,0.0,22.0,1.0,0.0,100.0,27.0
2021-01-08 08:00:00,180.0,0.0,2001.75,0.0,0.0,5739.75,0.0,22.0,6.0,0.0,100.0,45.0
2021-01-08 09:00:00,184.0,0.0,2058.25,0.0,0.0,5934.5,0.0,22.0,32.0,0.0,100.0,49.0
2021-01-08 10:00:00,184.0,0.0,2062.0,0.0,0.0,6083.25,0.0,22.0,74.0,0.0,100.0,68.0
2021-01-08 11:00:00,184.0,0.0,2066.75,0.0,0.0,6145.0,0.0,22.0,112.0,0.0,100.0,56.0
2021-01-08 12:00:00,184.0,0.0,2060.5,0.0,0.0,5697.75,0.0,22.0,134.0,0.0,100.0,60.0
2021-01-08 13:00:00,184.0,0.0,2022.5,0.0,0.0,5333.5,0.0,22.0,130.0,0.0,100.0,81.0
2021-01-08 14:00:00,184.0,0.0,1999.5,0.0,0.0,5252.5,0.0,22.0,96.0,0.0,100.0,86.0
2021-01-08 15:00:00,184.0,0.0,2000.25,0.0,0.0,5802.25,0.0,22.0,45.0,0.0,100.0,72.0
2021-01-08 16:00:00,184.0,0.0,2013.0,0.0,0.0,5602.5,0.0,22.0,9.0,0.0,100.0,108.0
2021-01-08 17:00:00,184.0,0.0,2037.5,0.0,0.0,5498.5,0.0,22.0,0.0,0.0,100.0,152.0
2021-01-08 18:00:00,184.0,0.0,2053.5,0.0,0.0,5181.0,0.0,22.0,0.0,0.0,100.0,201.0
2021-01-08 19:00:00,184.0,0.0,1991.25,0.0,0.0,5086.0,0.0,22.0,0.0,0.0,100.0,260.0
2021-01-08 20:00:00,184.0,0.0,1974.0,0.0,0.0,4600.5,0.0,22.0,0.0,0.0,100.0,258.0
2021-01-08 21:00:00,184.0,0.0,2008.75,0.0,0.0,3289.75,0.0,22.0,0.0,0.0,100.0,243.0
2021-01-08 22:00:00,184.0,0.0,2001.75,0.0,0.0,2640.25,0.0,22.0,0.0,0.0,100.0,224.0
2021-01-08 23:00:00,184.0,0.0,2009.5,0.0,0.0,2398.25,0.0,22.0,0.0,0.0,100.0,260.0
2021-01-09 00:00:00,184.0,0.0,2033.0,0.0,0.0,2375.25,0.0,22.0,0.0,0.0,100.0,278.0
2021-01-09 01:00:00,184.0,0.0,2033.75,0.0,0.0,2284.5,0.0,22.0,0.0,0.0,100.0,220.0
2021-01-09 02:00:00,181.0,0.0,1908.5,0.0,0.0,2157.75,0.0,22.0,0.0,0.0,100.0,238.0
2021-01-09 03:00:00,181.0,0.0,1764.5,0.0,0.0,1920.25,0.0,22.0,0.0,0.0,100.0,319.0
2021-01-09 04:00:00,184.0,0.0,1713.25,0.0,0.0,1961.75,0.0,22.0,0.0,0.0,100.0,344.0
2021-01-09 05:00:00,184.0,0.0,1739.5,0.0,0.0,1846.5,0.0,22.0,0.0,0.0,100.0,408.0
2021-01-09 06:00:00,184.0,0.0,1798.0,0.0,0.0,1896.5,0.0,22.0,0.0,0.0,100.0,356.0
2021-01-09 07:00:00,184.0,0.0,1927.25,0.0,0.0,2102.75,0.0,22.0,1.0,0.0,100.0,273.0
2021-01-09 08:00:00,184.0,0.0,1980.5,0.0,0.0,2531.75,0.0,22.0,9.0,0.0,100.0,187.0
2021-01-09 09:00:00,184.0,0.0,1958.75,0.0,0.0,3730.25,0.0,22.0,44.0,0.0,100.0,184.0
2021-01-09 10:00:00,180.0,0.0,2019.75,0.0,0.0,3090.0,0.0,22.0,101.0,0.0,100.0,140.0
2021-01-09 11:00:00,181.0,0.0,2060.5,0.0,0.0,3220.0,0.0,22.0,146.0,0.0,100.0,108.0
2021-01-09 12:00:00,184.0,0.0,1991.0,0.0,0.0,3140.0,0.0,22.0,170.0,0.0,100.0,93.0
2021-01-09 13:00:00,182.0,0.0,1968.0,0.0,0.0,2546.25,0.0,22.0,156.0,0.0,100.0,93.0
2021-01-09 14:00:00,182.0,0.0,1973.0,0.0,0.0,2316.25,0.0,22.0,110.0,0.0,100.0,124.0
2021-01-09 15:00:00,181.0,0.0,1948.5,0.0,0.0,2498.75,0.0,22.0,50.0,0.0,100.0,122.0
2021-01-09 16:00:00,184.0,0.0,1901.5,0.0,0.0,3310.75,0.0,22.0,10.0,0.0,100.0,141.0
2021-01-09 17:00:00,184.0,0.0,1862.75,0.0,0.0,4869.0,0.0,22.0,0.0,0.0,100.0,129.0
2021-01-09 18:00:00,184.0,0.0,1869.5,0.0,0.0,5296.75,0.0,22.0,0.0,0.0,100.0,70.0
2021-01-09 19:00:00,184.0,0.0,1880.25,0.0,0.0,4674.75,0.0,22.0,0.0,0.0,100.0,79.0
2021-01-09 20:00:00,184.0,0.0,1919.5,0.0,0.0,3342.0,0.0,22.0,0.0,0.0,100.0,122.0
2021-01-09 21:00:00,184.0,0.0,1950.0,0.0,0.0,2534.0,0.0,22.0,0.0,0.0,100.0,149.0
2021-01-09 22:00:00,184.0,0.0,1981.75,0.0,0.0,2333.5,0.0,22.0,0.0,0.0,100.0,180.0
2021-01-09 23:00:00,184.0,0.0,1972.5,0.0,0.0,2255.5,0.0,22.0,0.0,0.0,100.0,287.0
2021-01-10 00:00:00,183.0,0.0,1998.75,0.0,0.0,2081.0,0.0,22.0,0.0,0.0,100.0,312.0
2021-01-10 01:00:00,180.0,0.0,1923.5,0.0,0.0,1928.75,0.0,22.0,0.0,0.0,100.0,265.0
2021-01-10 02:00:00,180.0,0.0,1834.25,0.0,0.0,1739.0,0.0,22.0,0.0,0.0,100.0,205.0
2021-01-10 03:00:00,180.0,0.0,1752.5,0.0,0.0,1556.25,0.0,22.0,0.0,0.0,100.0,238.0
