"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|EE","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","58","n/e","51","2","n/e","n/e","255","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","21"
"BZN|EE","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","56","n/e","52","2","n/e","n/e","246","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","27"
"BZN|EE","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","56","n/e","53","2","n/e","n/e","254","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","25"
"BZN|EE","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","53","n/e","52","2","n/e","n/e","245","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","32"
"BZN|EE","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","55","n/e","52","2","n/e","n/e","245","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","18","n/e","44"
"BZN|EE","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","55","n/e","51","2","n/e","n/e","246","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","66"
"BZN|EE","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","56","n/e","51","2","n/e","n/e","244","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","110"
"BZN|EE","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","55","n/e","51","2","n/e","n/e","243","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","149"
"BZN|EE","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","55","n/e","50","2","n/e","n/e","241","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","156"
"BZN|EE","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","55","n/e","48","2","n/e","n/e","253","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","1","17","n/e","176"
"BZN|EE","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","55","n/e","45","2","n/e","n/e","248","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","3","17","n/e","175"
"BZN|EE","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","56","n/e","44","2","n/e","n/e","269","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","6","17","n/e","154"
"BZN|EE","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","56","n/e","44","2","n/e","n/e","337","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","8","18","n/e","138"
"BZN|EE","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","56","n/e","44","2","n/e","n/e","367","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","5","17","n/e","142"
"BZN|EE","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","56","n/e","45","2","n/e","n/e","368","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","1","18","n/e","150"
"BZN|EE","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","59","n/e","45","2","n/e","n/e","377","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","145"
"BZN|EE","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","61","n/e","47","2","n/e","n/e","384","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","147"
"BZN|EE","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","62","n/e","46","2","n/e","n/e","405","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","129"
"BZN|EE","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","63","n/e","48","2","n/e","n/e","392","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","115"
"BZN|EE","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","63","n/e","48","2","n/e","n/e","406","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","18","n/e","85"
"BZN|EE","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","61","n/e","48","2","n/e","n/e","390","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","60"
"BZN|EE","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","59","n/e","47","2","n/e","n/e","360","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","18","n/e","39"
"BZN|EE","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","60","n/e","47","2","n/e","n/e","375","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","36"
"BZN|EE","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","58","n/e","48","2","n/e","n/e","336","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","35"
"BZN|EE","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","57","n/e","44","2","n/e","n/e","315","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","34"
"BZN|EE","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","55","n/e","47","2","n/e","n/e","258","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","34"
"BZN|EE","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","55","n/e","47","2","n/e","n/e","265","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","52"
"BZN|EE","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","53","n/e","47","2","n/e","n/e","239","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","74"
"BZN|EE","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","55","n/e","46","2","n/e","n/e","240","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","86"
"BZN|EE","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","55","n/e","45","2","n/e","n/e","239","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","69"
"BZN|EE","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","55","n/e","40","2","n/e","n/e","264","2","n/e","n/e","n/e","3","n/e","n/e","n/e","0","4","0","17","n/e","87"
